CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
1631123,Jamaree Bouyea,1610612749,MIL,G,25.0,4,4,1.0,11,24,0.458,0.43,0.028
200782,P.J. Tucker,1610612752,NYK,F,40.0,3,3,1.0,15,23,0.652,0.439,0.213
1642422,Armel Traoré,1610612747,LAL,F,22.0,8,8,1.0,12,23,0.522,0.472,0.05
1630528,Josh Christopher,1610612748,MIA,G,23.0,9,9,1.0,8,23,0.348,0.442,-0.094
1641734,Emoni Bates,1610612739,CLE,F,21.0,5,5,1.0,9,23,0.391,0.459,-0.068
1641789,Jazian Gortman,1610612742,DAL,G,22.0,10,10,1.0,13,23,0.565,0.459,0.106
1629098,Jack McVeigh,1610612745,HOU,G-F,28.0,8,8,1.0,10,22,0.455,0.435,0.02
1631120,JD Davison,1610612738,BOS,G,22.0,11,11,1.0,7,22,0.318,0.464,-0.146
1630201,Malachi Flynn,1610612766,CHA,G,27.0,3,3,1.0,9,21,0.429,0.438,-0.01
1641857,Liam Robbins,1610612749,MIL,C,25.0,10,10,1.0,9,19,0.474,0.45,0.024
1642279,Ulrich Chomche,1610612761,TOR,C,19.0,6,6,1.0,15,19,0.789,0.47,0.32
1642449,Tolu Smith,1610612765,DET,F,24.0,1,1,1.0,8,17,0.471,0.447,0.024
1642353,Cam Christie,1610612746,LAC,G,19.0,7,7,1.0,6,17,0.353,0.481,-0.128
1630600,Isaiah Mobley,1610612755,PHI,F,25.0,1,1,1.0,9,17,0.529,0.458,0.071
1630762,Phillip Wheeler,1610612755,PHI,F,23.0,4,4,1.0,7,15,0.467,0.444,0.022
1642384,Isaiah Crawford,1610612758,SAC,F,23.0,7,7,1.0,5,14,0.357,0.477,-0.12
1631121,Bryce McGowens,1610612757,POR,G,22.0,11,11,1.0,8,14,0.571,0.4,0.171
1642050,Jackson Rowe,1610612744,GSW,F,28.0,5,5,1.0,5,14,0.357,0.45,-0.093
201949,James Johnson,1610612754,IND,F,38.0,8,8,1.0,5,13,0.385,0.452,-0.067
1630561,David Duke Jr.,1610612759,SAS,G,25.0,4,4,1.0,5,13,0.385,0.449,-0.065
1641766,Adama Sanogo,1610612741,CHI,F,23.0,3,3,1.0,5,12,0.417,0.506,-0.09
1630222,Mason Jones,1610612758,SAC,G,26.0,7,7,1.0,6,12,0.5,0.418,0.082
1641755,Kevin McCullar Jr.,1610612752,NYK,G,24.0,3,3,1.0,7,10,0.7,0.47,0.23
1642280,Trentyn Flowers,1610612746,LAC,F,20.0,4,4,1.0,5,10,0.5,0.403,0.097
1641752,Bobi Klintman,1610612765,DET,F,22.0,5,5,1.0,6,10,0.6,0.421,0.179
1642443,Jahmir Young,1610612741,CHI,G,24.0,4,4,1.0,8,9,0.889,0.446,0.443
1628408,PJ Dozier,1610612750,MIN,G-F,28.0,5,5,1.0,4,9,0.444,0.441,0.004
1631159,Leonard Miller,1610612750,MIN,F,21.0,7,7,1.0,4,9,0.444,0.438,0.006
1641803,Tristen Newton,1610612750,MIN,G,24.0,3,3,1.0,3,8,0.375,0.489,-0.114
1642450,Daniss Jenkins,1610612765,DET,G,23.0,5,5,1.0,4,8,0.5,0.448,0.052
1630618,D.J. Carton,1610612761,TOR,G,24.0,3,3,1.0,5,8,0.625,0.442,0.183
1631127,Harrison Ingram,1610612759,SAS,F,22.0,4,4,1.0,5,8,0.625,0.483,0.143
1631386,Tazé Moore,1610612757,POR,G,26.0,2,2,1.0,1,7,0.143,0.426,-0.283
1642502,Malevy Leons,1610612760,OKC,F,25.0,4,4,1.0,4,7,0.571,0.442,0.129
