GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,MIN,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,FTA_RATE,TM_AST_PCT,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT_MR,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_FG3_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT
-101108-203084-1628368-1630170-1641705-,C. Paul - H. Barnes - D. Fox - D. Vassell - V. Wembanyama,1610612759,SAS,60.6,115.0,117.6,-2.5,104.6,0.585,0.227,0.754,0.605,0.395,0.183,0.17,0.144,0.34,0.754,0.246,0.379,0.617,0.083,0.153
-203924-1629014-1631101-1641739-1642270-,J. Grant - A. Simons - S. Sharpe - T. Camara - D. Clingan,1610612757,POR,60.5,79.8,108.5,-28.6,102.77,0.428,0.104,0.537,0.539,0.461,0.136,0.136,0.058,0.369,0.537,0.463,0.325,0.568,0.236,0.131
-1628368-1629640-1630577-1631110-1642264-,D. Fox - K. Johnson - J. Champagnie - J. Sochan - S. Castle,1610612759,SAS,60.4,117.7,126.1,-8.3,112.38,0.613,0.15,0.676,0.638,0.362,0.048,0.181,0.078,0.566,0.676,0.324,0.418,0.613,0.219,0.099
-203486-1626145-1626164-1626220-1628960-,M. Plumlee - T. Jones - D. Booker - R. O'Neale - G. Allen,1610612756,PHX,60.3,116.9,120.5,-3.5,102.25,0.608,0.406,0.787,0.406,0.594,0.066,0.099,0.224,0.237,0.787,0.213,0.413,0.601,0.266,0.134
-1627747-1627777-1628386-1629636-1630241-,C. LeVert - G. Niang - J. Allen - D. Garland - S. Merrill,1610612739,CLE,60.2,123.2,121.3,1.9,109.3,0.666,0.342,0.661,0.595,0.405,0.0,0.094,0.165,0.518,0.661,0.339,0.409,0.603,0.259,0.147
-1628970-1629684-1630163-1630182-1641706-,M. Bridges - G. Williams - L. Ball - J. Green - B. Miller,1610612766,CHA,59.9,127.6,133.6,-6.0,101.05,0.715,0.181,0.8,0.429,0.571,0.025,0.204,0.111,0.235,0.8,0.2,0.481,0.712,0.17,0.144
-203924-1630703-1631101-1641739-1642270-,J. Grant - S. Henderson - S. Sharpe - T. Camara - D. Clingan,1610612757,POR,59.6,104.0,115.9,-11.9,101.04,0.56,0.238,0.63,0.552,0.448,0.062,0.185,0.138,0.338,0.63,0.37,0.406,0.553,0.212,0.143
-203484-1629048-1630175-1630532-1631094-,K. Caldwell-Pope - G. Bitadze - C. Anthony - F. Wagner - P. Banchero,1610612753,ORL,59.2,106.5,95.3,11.2,101.32,0.538,0.196,0.596,0.661,0.339,0.092,0.221,0.122,0.534,0.596,0.404,0.259,0.481,0.282,0.189
-1628369-1628401-1628436-1630202-1630573-,J. Tatum - D. White - L. Kornet - P. Pritchard - S. Hauser,1610612738,BOS,58.8,123.6,96.1,27.5,104.43,0.637,0.184,0.579,0.456,0.544,0.089,0.076,0.102,0.293,0.579,0.421,0.375,0.513,0.088,0.132
-203991-1627747-1627777-1629027-1629611-,C. Capela - C. LeVert - G. Niang - T. Young - T. Mann,1610612737,ATL,58.7,107.7,118.0,-10.3,105.46,0.544,0.27,0.66,0.583,0.417,0.057,0.186,0.164,0.543,0.66,0.34,0.407,0.588,0.175,0.148
