GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,MIN,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,FTA_RATE,TM_AST_PCT,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT_MR,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_FG3_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT
-1626157-1628384-1628404-1628969-1628973-,K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,1610612752,NYK,939.9,117.7,114.4,3.3,98.76,0.601,0.239,0.661,0.648,0.352,0.06,0.138,0.143,0.508,0.661,0.339,0.372,0.561,0.188,0.133
-201144-203497-203944-1630162-1630183-,M. Conley - R. Gobert - J. Randle - A. Edwards - J. McDaniels,1610612750,MIN,713.7,113.4,110.2,3.2,97.48,0.599,0.217,0.63,0.581,0.419,0.071,0.107,0.13,0.42,0.63,0.37,0.379,0.551,0.165,0.141
-202699-203501-1630595-1631105-1641709-,T. Harris - T. Hardaway Jr. - C. Cunningham - J. Duren - A. Thompson,1610612765,DET,491.3,115.5,109.4,6.1,103.18,0.58,0.209,0.593,0.721,0.279,0.072,0.191,0.122,0.574,0.593,0.407,0.363,0.55,0.236,0.149
-1627832-1628415-1630224-1630578-1631095-,F. VanVleet - D. Brooks - J. Green - A. Sengun - J. Smith Jr.,1610612745,HOU,450.4,109.3,104.1,5.2,100.34,0.53,0.247,0.568,0.606,0.394,0.073,0.159,0.165,0.44,0.568,0.432,0.382,0.524,0.209,0.141
-1626167-1627783-1629614-1630169-1631097-,M. Turner - P. Siakam - A. Nembhard - T. Haliburton - B. Mathurin,1610612754,IND,434.7,114.1,102.2,11.9,101.58,0.604,0.251,0.697,0.605,0.395,0.115,0.145,0.15,0.415,0.697,0.303,0.351,0.519,0.19,0.14
-201942-1627734-1628368-1628370-1631099-,D. DeRozan - D. Sabonis - D. Fox - M. Monk - K. Murray,1610612758,SAC,430.8,114.9,114.7,0.2,103.63,0.579,0.235,0.643,0.667,0.333,0.127,0.13,0.152,0.464,0.643,0.357,0.419,0.575,0.262,0.153
-203932-203999-1627750-1629008-1631128-,A. Gordon - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,1610612743,DEN,425.9,125.0,114.4,10.6,102.57,0.643,0.245,0.693,0.633,0.367,0.054,0.178,0.137,0.487,0.693,0.307,0.366,0.554,0.199,0.115
-1626167-1627783-1629614-1630169-1630174-,M. Turner - P. Siakam - A. Nembhard - T. Haliburton - A. Nesmith,1610612754,IND,382.7,118.8,107.7,11.1,100.65,0.618,0.199,0.714,0.556,0.444,0.067,0.178,0.113,0.407,0.714,0.286,0.354,0.531,0.207,0.153
-201566-203999-1627750-1629008-1631128-,R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,1610612743,DEN,367.8,125.1,122.2,2.9,102.12,0.627,0.219,0.712,0.674,0.326,0.08,0.17,0.129,0.499,0.712,0.288,0.412,0.591,0.161,0.115
-201950-204001-1627759-1628369-1628401-,J. Holiday - K. Porziņģis - J. Brown - J. Tatum - D. White,1610612738,BOS,356.8,114.1,114.1,0.0,103.05,0.586,0.226,0.685,0.5,0.5,0.066,0.109,0.14,0.371,0.685,0.315,0.417,0.543,0.218,0.121
-201935-1626181-1627739-1627826-1627884-,J. Harden - N. Powell - K. Dunn - I. Zubac - D. Jones Jr.,1610612746,LAC,326.0,114.7,103.9,10.8,101.22,0.583,0.246,0.593,0.621,0.379,0.048,0.178,0.142,0.501,0.593,0.407,0.38,0.535,0.199,0.186
-1627832-1628415-1630224-1630578-1641708-,F. VanVleet - D. Brooks - J. Green - A. Sengun - A. Thompson,1610612745,HOU,323.1,107.3,114.9,-7.6,99.46,0.535,0.238,0.573,0.635,0.365,0.072,0.132,0.149,0.453,0.573,0.427,0.414,0.58,0.208,0.169
-1628392-1628983-1629652-1631114-1641717-,I. Hartenstein - S. Gilgeous-Alexander - L. Dort - J. Williams - C. Wallace,1610612760,OKC,316.1,117.0,101.0,15.9,102.81,0.586,0.196,0.589,0.679,0.321,0.097,0.12,0.128,0.481,0.589,0.411,0.305,0.499,0.227,0.167
-201572-203081-203507-1627752-1641748-,B. Lopez - D. Lillard - G. Antetokounmpo - T. Prince - A. Jackson Jr.,1610612749,MIL,310.6,110.2,112.7,-2.5,101.61,0.586,0.219,0.62,0.585,0.415,0.08,0.16,0.111,0.421,0.62,0.38,0.388,0.56,0.194,0.131
-201935-202695-1626181-1627739-1627826-,J. Harden - K. Leonard - N. Powell - K. Dunn - I. Zubac,1610612746,LAC,285.9,117.3,107.9,9.5,98.54,0.61,0.227,0.655,0.649,0.351,0.061,0.136,0.132,0.521,0.655,0.345,0.395,0.559,0.176,0.162
-203991-1629027-1630552-1630700-1642258-,C. Capela - T. Young - J. Johnson - D. Daniels - Z. Risacher,1610612737,ATL,281.6,111.5,111.7,-0.2,106.35,0.572,0.191,0.712,0.683,0.317,0.043,0.149,0.105,0.563,0.712,0.288,0.403,0.566,0.176,0.147
-201143-201950-1627759-1628369-1628401-,A. Horford - J. Holiday - J. Brown - J. Tatum - D. White,1610612738,BOS,268.1,122.1,104.4,17.7,100.6,0.638,0.214,0.703,0.437,0.563,0.047,0.099,0.12,0.289,0.703,0.297,0.29,0.501,0.206,0.115
-202699-203501-1630595-1631093-1631105-,T. Harris - T. Hardaway Jr. - C. Cunningham - J. Ivey - J. Duren,1610612765,DET,261.2,119.8,122.0,-2.1,97.66,0.617,0.21,0.653,0.609,0.391,0.05,0.162,0.113,0.463,0.653,0.347,0.412,0.604,0.212,0.116
-203924-1629014-1629028-1630166-1641739-,J. Grant - A. Simons - D. Ayton - D. Avdija - T. Camara,1610612757,POR,251.0,102.5,116.2,-13.6,99.34,0.516,0.212,0.602,0.597,0.403,0.079,0.132,0.15,0.432,0.602,0.398,0.399,0.567,0.253,0.138
-202696-203897-1629632-1630172-1630581-,N. Vučević - Z. LaVine - C. White - P. Williams - J. Giddey,1610612741,CHI,250.4,106.7,111.8,-5.1,107.56,0.579,0.18,0.675,0.56,0.44,0.083,0.113,0.116,0.422,0.675,0.325,0.327,0.549,0.142,0.108
-1629027-1630168-1630700-1631243-1642258-,T. Young - O. Okongwu - D. Daniels - M. Gueye - Z. Risacher,1610612737,ATL,247.9,117.2,109.4,7.9,107.19,0.596,0.179,0.711,0.616,0.384,0.04,0.204,0.105,0.483,0.711,0.289,0.415,0.571,0.245,0.192
-1628378-1628386-1629622-1629636-1630596-,D. Mitchell - J. Allen - M. Strus - D. Garland - E. Mobley,1610612739,CLE,243.0,118.9,106.4,12.5,103.92,0.611,0.231,0.657,0.557,0.443,0.035,0.152,0.135,0.478,0.657,0.343,0.327,0.528,0.214,0.125
-1628991-1629630-1630217-1641744-1642377-,J. Jackson Jr. - J. Morant - D. Bane - Z. Edey - J. Wells,1610612763,MEM,221.8,127.8,101.4,26.4,108.66,0.625,0.24,0.536,0.639,0.361,0.066,0.177,0.155,0.469,0.536,0.464,0.328,0.494,0.237,0.139
-203468-1627749-1630529-1630530-1642274-,C. McCollum - D. Murray - H. Jones - T. Murphy III - Y. Missi,1610612740,NOP,221.1,112.6,120.1,-7.5,102.16,0.589,0.218,0.617,0.619,0.381,0.08,0.127,0.146,0.439,0.617,0.383,0.364,0.59,0.247,0.146
-201942-203897-1627734-1631099-1631165-,D. DeRozan - Z. LaVine - D. Sabonis - K. Murray - K. Ellis,1610612758,SAC,219.5,112.6,113.5,-0.9,97.31,0.598,0.169,0.61,0.603,0.397,0.152,0.162,0.106,0.395,0.61,0.39,0.368,0.555,0.21,0.121
-202709-203484-1628976-1630532-1631094-,C. Joseph - K. Caldwell-Pope - W. Carter Jr. - F. Wagner - P. Banchero,1610612753,ORL,215.6,116.0,104.6,11.5,96.39,0.588,0.22,0.595,0.592,0.408,0.1,0.11,0.14,0.405,0.595,0.405,0.362,0.53,0.249,0.156
-203497-203944-1628978-1630162-1630183-,R. Gobert - J. Randle - D. DiVincenzo - A. Edwards - J. McDaniels,1610612750,MIN,212.8,115.4,110.8,4.6,100.05,0.59,0.238,0.624,0.604,0.396,0.027,0.157,0.131,0.459,0.624,0.376,0.361,0.515,0.165,0.112
-201939-202710-203110-1630541-1641764-,S. Curry - J. Butler III - D. Green - M. Moody - B. Podziemski,1610612744,GSW,211.4,120.6,104.2,16.4,103.88,0.635,0.285,0.779,0.531,0.469,0.061,0.167,0.171,0.381,0.779,0.221,0.39,0.564,0.144,0.199
-1628398-1629673-1641731-1642259-1642267-,K. Kuzma - J. Poole - B. Coulibaly - A. Sarr - B. Carrington,1610612764,WAS,207.7,86.7,120.3,-33.5,108.15,0.464,0.178,0.636,0.496,0.504,0.044,0.217,0.111,0.415,0.636,0.364,0.4,0.588,0.239,0.134
-201572-203081-203507-1627752-1628398-,B. Lopez - D. Lillard - G. Antetokounmpo - T. Prince - K. Kuzma,1610612749,MIL,204.9,113.4,109.1,4.3,102.97,0.606,0.215,0.584,0.601,0.399,0.14,0.104,0.124,0.393,0.584,0.416,0.316,0.525,0.176,0.093
-201942-1627734-1628370-1631099-1631165-,D. DeRozan - D. Sabonis - M. Monk - K. Murray - K. Ellis,1610612758,SAC,200.8,119.3,102.2,17.1,99.3,0.6,0.218,0.658,0.618,0.382,0.12,0.142,0.146,0.416,0.658,0.342,0.37,0.499,0.191,0.143
-202699-203501-1627736-1630595-1631105-,T. Harris - T. Hardaway Jr. - M. Beasley - C. Cunningham - J. Duren,1610612765,DET,200.5,112.6,116.1,-3.5,107.87,0.633,0.336,0.597,0.627,0.373,0.075,0.1,0.194,0.443,0.597,0.403,0.445,0.614,0.28,0.138
-2544-203076-1629060-1630559-1631108-,L. James - A. Davis - R. Hachimura - A. Reaves - M. Christie,1610612747,LAL,198.6,107.4,106.3,1.1,103.43,0.583,0.243,0.672,0.645,0.355,0.065,0.162,0.147,0.489,0.672,0.328,0.364,0.538,0.131,0.138
-1628378-1628386-1629636-1629731-1630596-,D. Mitchell - J. Allen - D. Garland - D. Wade - E. Mobley,1610612739,CLE,197.3,120.1,112.4,7.7,101.08,0.617,0.163,0.63,0.568,0.432,0.085,0.139,0.105,0.411,0.63,0.37,0.373,0.546,0.189,0.139
-1628374-1628381-1629012-1631117-1641718-,L. Markkanen - J. Collins - C. Sexton - W. Kessler - K. George,1610612762,UTA,196.2,123.5,116.1,7.4,100.4,0.646,0.263,0.63,0.598,0.402,0.039,0.098,0.147,0.424,0.63,0.37,0.362,0.562,0.183,0.083
-201942-203897-1627734-1628370-1631099-,D. DeRozan - Z. LaVine - D. Sabonis - M. Monk - K. Murray,1610612758,SAC,195.8,114.6,123.0,-8.4,102.73,0.593,0.231,0.612,0.614,0.386,0.107,0.154,0.142,0.431,0.612,0.388,0.4,0.588,0.223,0.07
-201935-202695-1626181-1627826-1627884-,J. Harden - K. Leonard - N. Powell - I. Zubac - D. Jones Jr.,1610612746,LAC,192.7,124.8,102.9,21.8,103.11,0.632,0.178,0.659,0.703,0.297,0.081,0.146,0.106,0.501,0.659,0.341,0.359,0.543,0.163,0.153
-202710-1628389-1629130-1629312-1629639-,J. Butler - B. Adebayo - D. Robinson - H. Highsmith - T. Herro,1610612748,MIA,189.0,118.4,114.0,4.4,96.41,0.604,0.155,0.737,0.539,0.461,0.022,0.124,0.098,0.453,0.737,0.263,0.389,0.571,0.169,0.121
-203944-1628978-1629638-1629675-1630162-,J. Randle - D. DiVincenzo - N. Alexander-Walker - N. Reid - A. Edwards,1610612750,MIN,188.1,124.1,112.5,11.7,101.94,0.647,0.241,0.606,0.513,0.487,0.032,0.128,0.13,0.413,0.606,0.394,0.367,0.552,0.235,0.13
-201572-203081-203507-1627752-1629018-,B. Lopez - D. Lillard - G. Antetokounmpo - T. Prince - G. Trent Jr.,1610612749,MIL,187.8,118.5,117.7,0.9,103.15,0.646,0.391,0.634,0.555,0.445,0.05,0.121,0.2,0.4,0.634,0.366,0.346,0.551,0.276,0.102
-203484-1628976-1630175-1630532-1631094-,K. Caldwell-Pope - W. Carter Jr. - C. Anthony - F. Wagner - P. Banchero,1610612753,ORL,186.9,115.8,103.7,12.1,97.2,0.577,0.263,0.545,0.713,0.287,0.105,0.145,0.164,0.473,0.545,0.455,0.393,0.521,0.288,0.175
-1626157-1628384-1628404-1628969-1630540-,K. Towns - O. Anunoby - J. Hart - M. Bridges - M. McBride,1610612752,NYK,185.3,114.7,110.6,4.1,97.26,0.559,0.183,0.706,0.611,0.389,0.056,0.145,0.121,0.466,0.706,0.294,0.393,0.537,0.196,0.154
-201942-1627734-1628368-1628989-1631099-,D. DeRozan - D. Sabonis - D. Fox - K. Huerter - K. Murray,1610612758,SAC,183.7,115.0,105.5,9.5,100.71,0.61,0.239,0.61,0.648,0.352,0.18,0.094,0.142,0.422,0.61,0.39,0.356,0.51,0.166,0.159
-101108-203084-1630577-1641705-1642264-,C. Paul - H. Barnes - J. Champagnie - V. Wembanyama - S. Castle,1610612759,SAS,176.7,124.8,112.2,12.6,98.87,0.635,0.256,0.713,0.404,0.596,0.048,0.1,0.153,0.314,0.713,0.287,0.307,0.546,0.127,0.114
-201935-1627739-1627826-1627884-1629599-,J. Harden - K. Dunn - I. Zubac - D. Jones Jr. - A. Coffey,1610612746,LAC,175.5,106.7,108.2,-1.5,97.24,0.567,0.19,0.646,0.632,0.368,0.026,0.123,0.123,0.535,0.646,0.354,0.311,0.532,0.194,0.144
-201935-1626181-1627826-1627884-1629611-,J. Harden - N. Powell - I. Zubac - D. Jones Jr. - T. Mann,1610612746,LAC,169.1,110.6,120.5,-9.9,96.93,0.558,0.21,0.721,0.595,0.405,0.032,0.143,0.162,0.456,0.721,0.279,0.411,0.622,0.238,0.132
-203999-1627750-1629008-1631128-1631212-,N. Jokić - J. Murray - M. Porter Jr. - C. Braun - P. Watson,1610612743,DEN,168.4,128.4,114.2,14.2,98.47,0.653,0.223,0.747,0.686,0.314,0.077,0.142,0.115,0.51,0.747,0.253,0.371,0.552,0.154,0.113
-1628392-1628983-1629652-1631096-1631114-,I. Hartenstein - S. Gilgeous-Alexander - L. Dort - C. Holmgren - J. Williams,1610612760,OKC,167.4,126.2,111.2,15.0,104.83,0.646,0.191,0.571,0.652,0.348,0.091,0.11,0.113,0.498,0.571,0.429,0.405,0.552,0.227,0.137
-1627751-1629628-1630534-1630558-1641711-,J. Poeltl - R. Barrett - O. Agbaji - D. Mitchell - G. Dick,1610612761,TOR,166.8,116.7,113.1,3.6,102.46,0.566,0.24,0.606,0.681,0.319,0.068,0.235,0.15,0.49,0.606,0.394,0.315,0.539,0.302,0.128
-101108-203084-1630170-1641705-1642264-,C. Paul - H. Barnes - D. Vassell - V. Wembanyama - S. Castle,1610612759,SAS,165.6,122.7,111.2,11.5,102.61,0.622,0.242,0.685,0.548,0.452,0.093,0.153,0.125,0.407,0.685,0.315,0.397,0.558,0.129,0.11
-1628378-1628386-1629636-1630171-1630596-,D. Mitchell - J. Allen - D. Garland - I. Okoro - E. Mobley,1610612739,CLE,159.6,123.7,117.6,6.1,102.69,0.647,0.203,0.6,0.56,0.44,0.033,0.147,0.113,0.392,0.6,0.4,0.424,0.567,0.214,0.138
-1629014-1630166-1631101-1641739-1642270-,A. Simons - D. Avdija - S. Sharpe - T. Camara - D. Clingan,1610612757,POR,154.9,114.6,110.2,4.4,99.6,0.547,0.211,0.681,0.536,0.464,0.049,0.171,0.12,0.391,0.681,0.319,0.366,0.521,0.211,0.134
-203484-1629048-1630532-1630591-1641783-,K. Caldwell-Pope - G. Bitadze - F. Wagner - J. Suggs - T. da Silva,1610612753,ORL,151.9,108.2,110.0,-1.7,95.62,0.549,0.204,0.669,0.618,0.382,0.067,0.204,0.143,0.535,0.669,0.331,0.357,0.539,0.267,0.143
-1628415-1630224-1630578-1631106-1641708-,D. Brooks - J. Green - A. Sengun - T. Eason - A. Thompson,1610612745,HOU,148.6,128.3,108.0,20.3,104.18,0.638,0.214,0.601,0.654,0.346,0.039,0.182,0.102,0.539,0.601,0.399,0.427,0.531,0.26,0.167
-201572-203507-1627752-1628398-1631157-,B. Lopez - G. Antetokounmpo - T. Prince - K. Kuzma - R. Rollins,1610612749,MIL,145.9,130.1,117.6,12.4,97.21,0.697,0.29,0.664,0.637,0.363,0.068,0.125,0.13,0.468,0.664,0.336,0.348,0.559,0.154,0.108
-203497-203944-1629638-1630162-1630183-,R. Gobert - J. Randle - N. Alexander-Walker - A. Edwards - J. McDaniels,1610612750,MIN,145.7,109.9,102.0,8.0,98.18,0.55,0.307,0.482,0.537,0.463,0.025,0.106,0.168,0.405,0.482,0.518,0.333,0.522,0.25,0.148
-101108-202687-203084-1630170-1642264-,C. Paul - B. Biyombo - H. Barnes - D. Vassell - S. Castle,1610612759,SAS,137.5,115.3,125.2,-9.8,99.32,0.625,0.153,0.654,0.54,0.46,0.097,0.145,0.079,0.363,0.654,0.346,0.48,0.609,0.143,0.149
-203924-1629014-1629028-1631101-1641739-,J. Grant - A. Simons - D. Ayton - S. Sharpe - T. Camara,1610612757,POR,136.9,91.4,121.9,-30.5,102.05,0.491,0.142,0.583,0.571,0.429,0.106,0.151,0.117,0.46,0.583,0.417,0.449,0.636,0.178,0.106
-101108-203084-1630170-1631110-1641705-,C. Paul - H. Barnes - D. Vassell - J. Sochan - V. Wembanyama,1610612759,SAS,135.9,116.3,100.0,16.3,99.99,0.606,0.228,0.771,0.484,0.516,0.104,0.152,0.137,0.329,0.771,0.229,0.301,0.479,0.147,0.116
-202696-1628989-1629632-1630581-1641824-,N. Vučević - K. Huerter - C. White - J. Giddey - M. Buzelis,1610612741,CHI,133.8,122.9,117.6,5.2,104.38,0.635,0.233,0.683,0.658,0.342,0.022,0.2,0.133,0.561,0.683,0.317,0.394,0.567,0.167,0.083
-1629014-1629028-1630166-1631101-1641739-,A. Simons - D. Ayton - D. Avdija - S. Sharpe - T. Camara,1610612757,POR,133.5,113.3,111.4,2.0,99.05,0.619,0.21,0.55,0.579,0.421,0.102,0.089,0.121,0.425,0.55,0.45,0.295,0.512,0.196,0.136
-201566-203932-203999-1629008-1631128-,R. Westbrook - A. Gordon - N. Jokić - M. Porter Jr. - C. Braun,1610612743,DEN,128.4,127.0,103.5,23.5,106.93,0.663,0.285,0.739,0.671,0.329,0.06,0.174,0.136,0.469,0.739,0.261,0.337,0.522,0.171,0.152
-1627751-1629628-1630558-1630567-1641711-,J. Poeltl - R. Barrett - D. Mitchell - S. Barnes - G. Dick,1610612761,TOR,125.9,105.1,113.2,-8.0,102.92,0.571,0.251,0.693,0.692,0.308,0.056,0.167,0.132,0.583,0.693,0.307,0.395,0.572,0.275,0.147
-101108-202687-203084-1628368-1630170-,C. Paul - B. Biyombo - H. Barnes - D. Fox - D. Vassell,1610612759,SAS,125.3,108.7,116.5,-7.8,101.94,0.564,0.146,0.681,0.563,0.438,0.111,0.132,0.083,0.41,0.681,0.319,0.337,0.531,0.153,0.12
-202710-203110-1630541-1641764-1642366-,J. Butler III - D. Green - M. Moody - B. Podziemski - Q. Post,1610612744,GSW,124.8,109.6,93.6,16.0,95.99,0.566,0.208,0.717,0.489,0.511,0.066,0.15,0.132,0.374,0.717,0.283,0.35,0.495,0.126,0.2
-1628384-1628404-1628969-1628973-1630173-,O. Anunoby - J. Hart - M. Bridges - J. Brunson - P. Achiuwa,1610612752,NYK,123.5,104.9,114.3,-9.4,102.59,0.59,0.333,0.592,0.667,0.333,0.08,0.156,0.196,0.442,0.592,0.408,0.419,0.59,0.282,0.147
-201144-203497-1628978-1629638-1629675-,M. Conley - R. Gobert - D. DiVincenzo - N. Alexander-Walker - N. Reid,1610612750,MIN,123.0,116.7,93.2,23.5,97.76,0.601,0.221,0.736,0.523,0.477,0.02,0.119,0.126,0.403,0.736,0.264,0.281,0.469,0.157,0.152
-203497-1628978-1629638-1629675-1630162-,R. Gobert - D. DiVincenzo - N. Alexander-Walker - N. Reid - A. Edwards,1610612750,MIN,122.6,110.3,94.9,15.4,108.44,0.664,0.195,0.664,0.479,0.521,0.013,0.116,0.11,0.394,0.664,0.336,0.386,0.51,0.276,0.176
-201572-203081-1626171-1629018-1631260-,B. Lopez - D. Lillard - B. Portis - G. Trent Jr. - A. Green,1610612749,MIL,121.1,121.8,99.6,22.2,100.65,0.635,0.159,0.566,0.513,0.487,0.098,0.068,0.104,0.319,0.566,0.434,0.303,0.485,0.208,0.102
-1628384-1628404-1628969-1628973-1630579-,O. Anunoby - J. Hart - M. Bridges - J. Brunson - J. Sims,1610612752,NYK,120.3,105.6,110.0,-4.4,92.33,0.529,0.176,0.632,0.583,0.417,0.122,0.118,0.114,0.423,0.632,0.368,0.391,0.571,0.199,0.143
-203952-1628389-1629639-1630558-1642276-,A. Wiggins - B. Adebayo - T. Herro - D. Mitchell - K. Ware,1610612748,MIA,120.1,112.5,114.0,-1.5,99.55,0.61,0.275,0.67,0.598,0.402,0.05,0.158,0.172,0.444,0.67,0.33,0.411,0.579,0.195,0.152
-1626179-1628389-1629312-1629639-1631170-,T. Rozier - B. Adebayo - H. Highsmith - T. Herro - J. Jaquez Jr.,1610612748,MIA,119.7,96.4,114.9,-18.4,99.07,0.507,0.225,0.67,0.583,0.417,0.074,0.148,0.165,0.428,0.67,0.33,0.429,0.549,0.111,0.153
-1628970-1630163-1630182-1631109-1641733-,M. Bridges - L. Ball - J. Green - M. Williams - N. Smith Jr.,1610612766,CHA,119.5,101.5,115.6,-14.1,106.05,0.52,0.229,0.594,0.572,0.428,0.037,0.133,0.156,0.407,0.594,0.406,0.368,0.573,0.249,0.149
-201143-1628369-1628436-1630202-1630573-,A. Horford - J. Tatum - L. Kornet - P. Pritchard - S. Hauser,1610612738,BOS,119.5,111.7,101.3,10.4,94.82,0.533,0.131,0.612,0.443,0.557,0.067,0.045,0.097,0.33,0.612,0.388,0.238,0.474,0.206,0.129
-201142-203078-203994-1626145-1626164-,K. Durant - B. Beal - J. Nurkić - T. Jones - D. Booker,1610612756,PHX,119.3,103.9,120.9,-17.1,103.83,0.591,0.111,0.736,0.583,0.417,0.119,0.153,0.071,0.485,0.736,0.264,0.427,0.582,0.248,0.116
-202681-202691-1629023-1629029-1641726-,K. Irving - K. Thompson - P. Washington - L. Dončić - D. Lively II,1610612742,DAL,118.7,127.9,104.4,23.5,100.88,0.622,0.212,0.582,0.559,0.441,0.112,0.146,0.112,0.393,0.582,0.418,0.387,0.523,0.201,0.169
-1626157-1628404-1628969-1628973-1630173-,K. Towns - J. Hart - M. Bridges - J. Brunson - P. Achiuwa,1610612752,NYK,116.3,118.1,115.2,2.9,100.52,0.572,0.238,0.536,0.749,0.251,0.125,0.136,0.167,0.551,0.536,0.464,0.403,0.58,0.192,0.148
-201144-203497-1629675-1630162-1630183-,M. Conley - R. Gobert - N. Reid - A. Edwards - J. McDaniels,1610612750,MIN,114.1,123.0,97.0,26.0,98.66,0.6,0.228,0.68,0.562,0.438,0.021,0.062,0.145,0.408,0.68,0.32,0.316,0.511,0.216,0.145
-203944-1628978-1629675-1630162-1630183-,J. Randle - D. DiVincenzo - N. Reid - A. Edwards - J. McDaniels,1610612750,MIN,113.2,104.6,108.9,-4.3,103.48,0.556,0.33,0.612,0.523,0.477,0.016,0.116,0.219,0.454,0.612,0.388,0.362,0.579,0.148,0.133
-201566-203999-1629008-1631128-1631212-,R. Westbrook - N. Jokić - M. Porter Jr. - C. Braun - P. Watson,1610612743,DEN,113.1,115.9,116.9,-1.1,107.41,0.662,0.297,0.798,0.723,0.277,0.048,0.192,0.147,0.589,0.798,0.202,0.423,0.573,0.227,0.154
-1628991-1629630-1629634-1630217-1642377-,J. Jackson Jr. - J. Morant - B. Clarke - D. Bane - J. Wells,1610612763,MEM,110.2,119.2,114.3,4.9,105.21,0.639,0.311,0.653,0.648,0.352,0.049,0.133,0.182,0.442,0.653,0.347,0.347,0.553,0.244,0.143
-201572-203081-203507-1627752-1631260-,B. Lopez - D. Lillard - G. Antetokounmpo - T. Prince - A. Green,1610612749,MIL,109.8,107.0,92.5,14.5,105.53,0.566,0.395,0.506,0.595,0.405,0.062,0.158,0.212,0.425,0.506,0.494,0.329,0.453,0.224,0.112
-203497-1628978-1629675-1630162-1630183-,R. Gobert - D. DiVincenzo - N. Reid - A. Edwards - J. McDaniels,1610612750,MIN,108.2,106.2,96.1,10.0,101.8,0.563,0.249,0.605,0.565,0.435,0.033,0.12,0.145,0.398,0.605,0.395,0.33,0.477,0.258,0.134
-2544-1627827-1629029-1629060-1630559-,L. James - D. Finney-Smith - L. Dončić - R. Hachimura - A. Reaves,1610612747,LAL,107.8,124.9,106.3,18.6,100.83,0.662,0.158,0.593,0.559,0.441,0.035,0.143,0.08,0.497,0.593,0.407,0.34,0.549,0.176,0.156
-1626167-1627783-1630169-1631097-1641767-,M. Turner - P. Siakam - T. Haliburton - B. Mathurin - B. Sheppard,1610612754,IND,106.8,110.7,115.4,-4.7,96.43,0.551,0.169,0.693,0.532,0.468,0.076,0.13,0.109,0.361,0.693,0.307,0.304,0.515,0.228,0.107
-1627751-1629628-1630193-1630567-1641711-,J. Poeltl - R. Barrett - I. Quickley - S. Barnes - G. Dick,1610612761,TOR,106.6,99.6,108.8,-9.2,103.36,0.523,0.176,0.696,0.623,0.377,0.07,0.239,0.083,0.496,0.696,0.304,0.375,0.571,0.205,0.149
-1629673-1641731-1642259-1642267-1642273-,J. Poole - B. Coulibaly - A. Sarr - B. Carrington - K. George,1610612764,WAS,106.5,101.8,110.8,-9.0,103.65,0.527,0.203,0.571,0.515,0.485,0.06,0.207,0.155,0.422,0.571,0.429,0.345,0.512,0.261,0.138
-1627747-1627777-1629027-1630168-1630700-,C. LeVert - G. Niang - T. Young - O. Okongwu - D. Daniels,1610612737,ATL,106.2,120.8,115.7,5.2,107.55,0.636,0.397,0.653,0.557,0.443,0.028,0.124,0.224,0.448,0.653,0.347,0.391,0.574,0.267,0.114
-1626167-1627783-1630169-1631097-1631245-,M. Turner - P. Siakam - T. Haliburton - B. Mathurin - Q. Jackson,1610612754,IND,106.2,113.8,119.2,-5.4,98.74,0.605,0.261,0.681,0.62,0.38,0.097,0.101,0.153,0.411,0.681,0.319,0.419,0.574,0.245,0.119
-1626167-1629614-1630167-1630169-1631097-,M. Turner - A. Nembhard - O. Toppin - T. Haliburton - B. Mathurin,1610612754,IND,106.1,110.9,106.5,4.4,104.5,0.584,0.313,0.652,0.589,0.411,0.071,0.09,0.173,0.439,0.652,0.348,0.297,0.488,0.207,0.116
-203471-1627827-1629651-1629661-1630560-,D. Schröder - D. Finney-Smith - N. Claxton - C. Johnson - C. Thomas,1610612751,BKN,105.8,116.2,104.2,12.0,97.34,0.603,0.245,0.611,0.527,0.473,0.056,0.08,0.151,0.398,0.611,0.389,0.359,0.531,0.254,0.169
-202696-203897-1629632-1630172-1630245-,N. Vučević - Z. LaVine - C. White - P. Williams - A. Dosunmu,1610612741,CHI,105.2,107.5,109.0,-1.5,110.68,0.587,0.258,0.767,0.535,0.465,0.062,0.193,0.174,0.371,0.767,0.233,0.308,0.524,0.178,0.082
-2544-203076-1626156-1629060-1630559-,L. James - A. Davis - D. Russell - R. Hachimura - A. Reaves,1610612747,LAL,104.8,109.6,104.0,5.6,104.69,0.557,0.323,0.824,0.652,0.348,0.056,0.234,0.187,0.484,0.824,0.176,0.315,0.507,0.166,0.141
-203991-1629027-1629631-1630552-1630700-,C. Capela - T. Young - D. Hunter - J. Johnson - D. Daniels,1610612737,ATL,104.5,111.7,100.0,11.7,108.9,0.564,0.35,0.688,0.646,0.354,0.03,0.179,0.209,0.47,0.688,0.312,0.381,0.523,0.231,0.188
