SEASON_ID,OFF_PLAYER_ID,OFF_PLAYER_NAME,DEF_PLAYER_ID,DEF_PLAYER_NAME,GP,MATCHUP_MIN,PARTIAL_POSS,PLAYER_PTS,TEAM_PTS,MATCHUP_AST,MATCHUP_TOV,MATCHUP_BLK,MATCHUP_FGM,MATCHUP_FGA,MATCHUP_FG_PCT,MATCHUP_FG3M,MATCHUP_FG3A,MATCHUP_FG3_PCT,HELP_BLK,HELP_FGM,HELP_FGA,HELP_FG_PERC,MATCHUP_FTM,MATCHUP_FTA,SFL,MATCHUP_TIME_SEC
22024,203999,Nikola Jokić,1629020,Jarred Vanderbilt,2,5:56,36.6,5,36,1,3,0,1,3,0.333,0,1,0.0,0,0,0,0,3,6,1,356.0
22024,203999,Nikola Jokić,1630596,Evan Mobley,2,5:35,33.7,10,47,5,0,0,5,11,0.455,0,2,0.0,0,0,0,0,0,0,0,334.6
22024,203999,Nikola Jokić,1628418,Thomas Bryant,3,5:38,32.7,16,53,8,2,1,8,12,0.667,0,2,0.0,0,0,0,0,0,0,0,338.3
22024,203999,Nikola Jokić,1642271,Kyle Filipowski,3,5:25,31.0,12,30,1,2,0,4,9,0.444,1,4,0.25,0,0,0,0,3,4,2,324.9
22024,203999,Nikola Jokić,1630583,Santi Aldama,1,6:07,30.1,8,37,6,2,0,4,7,0.571,0,1,0.0,0,0,0,0,0,1,1,367.4
22024,203999,Nikola Jokić,1628380,Zach Collins,2,5:58,29.2,19,33,4,0,0,8,17,0.471,1,4,0.25,0,0,0,0,2,3,1,357.8
22024,203999,Nikola Jokić,1631131,Oscar Tshiebwe,2,5:28,28.9,12,32,2,1,0,4,7,0.571,0,1,0.0,0,0,0,0,4,4,0,327.8
22024,203999,Nikola Jokić,1631109,Mark Williams,1,4:54,28.3,10,30,6,2,1,4,10,0.4,1,5,0.2,0,0,0,0,1,1,1,294.3
22024,203999,Nikola Jokić,1631099,Keegan Murray,2,4:57,27.2,6,29,4,1,0,2,7,0.286,0,1,0.0,0,0,0,0,2,2,0,296.6
22024,203999,Nikola Jokić,1628983,Shai Gilgeous-Alexander,4,4:33,26.4,16,50,1,4,2,7,11,0.636,1,2,0.5,0,0,0,0,1,2,0,273.4
22024,203999,Nikola Jokić,203110,Draymond Green,1,4:42,25.8,14,29,1,3,0,5,7,0.714,4,6,0.667,0,0,0,0,0,0,0,282.4
22024,203999,Nikola Jokić,1628991,Jaren Jackson Jr.,1,4:42,25.8,4,24,2,2,0,1,6,0.167,0,0,0.0,0,0,0,0,2,4,0,282.3
22024,203999,Nikola Jokić,1628467,Maxi Kleber,3,6:07,25.7,12,31,5,1,0,4,6,0.667,1,1,1.0,0,0,0,0,3,5,3,366.9
22024,203999,Nikola Jokić,1630183,Jaden McDaniels,4,4:14,25.5,12,43,3,2,0,5,9,0.556,0,0,0.0,0,0,0,0,2,4,2,253.7
22024,203999,Nikola Jokić,1629652,Luguentz Dort,4,3:54,24.5,6,40,7,0,0,3,6,0.5,0,1,0.0,0,0,0,0,0,0,0,233.7
22024,203999,Nikola Jokić,1630173,Precious Achiuwa,1,4:09,24.1,5,12,2,0,0,2,5,0.4,1,3,0.333,0,0,0,0,0,0,0,249.4
22024,203999,Nikola Jokić,1629675,Naz Reid,3,3:59,23.9,18,33,3,2,0,7,8,0.875,2,2,1.0,0,0,0,0,2,2,1,238.6
22024,203999,Nikola Jokić,1631119,Jaylin Williams,2,4:57,23.8,9,25,3,1,0,4,8,0.5,0,3,0.0,0,0,0,0,1,2,1,296.8
22024,203999,Nikola Jokić,1631222,Jake LaRavia,1,4:47,23.5,6,22,2,3,0,3,3,1.0,0,0,0.0,0,0,0,0,0,0,0,287.2
22024,203999,Nikola Jokić,203897,Zach LaVine,3,4:35,23.5,13,46,4,1,0,6,10,0.6,0,1,0.0,0,0,0,0,1,1,1,274.5
22024,203999,Nikola Jokić,1630162,Anthony Edwards,4,3:57,23.4,7,42,3,1,0,3,4,0.75,1,1,1.0,0,0,0,0,0,0,0,236.6
22024,203999,Nikola Jokić,1629023,P.J. Washington,3,4:29,23.0,8,37,3,1,0,4,7,0.571,0,0,0.0,0,0,0,0,0,0,0,269.1
22024,203999,Nikola Jokić,1630549,Day'Ron Sharpe,1,4:07,22.8,12,30,6,0,0,5,6,0.833,0,0,0.0,0,0,0,0,2,3,2,246.7
22024,203999,Nikola Jokić,1631218,Trayce Jackson-Davis,1,4:29,21.3,8,16,0,1,0,4,7,0.571,0,1,0.0,0,0,0,0,0,0,0,269.1
22024,203999,Nikola Jokić,1631165,Keon Ellis,4,3:09,19.8,10,38,3,2,2,4,7,0.571,0,1,0.0,0,0,0,0,2,2,1,188.8
22024,203999,Nikola Jokić,1630559,Austin Reaves,3,3:12,19.7,8,29,2,2,0,4,8,0.5,0,1,0.0,0,0,0,0,0,0,0,192.2
22024,203999,Nikola Jokić,202693,Markieff Morris,1,2:49,19.7,5,31,1,0,0,2,4,0.5,0,1,0.0,0,0,0,0,1,3,1,169.4
22024,203999,Nikola Jokić,202681,Kyrie Irving,3,3:16,19.1,5,31,2,1,0,2,5,0.4,1,1,1.0,0,0,0,0,0,0,0,196.4
22024,203999,Nikola Jokić,1630578,Alperen Sengun,1,3:46,19.0,4,25,2,0,0,2,3,0.667,0,1,0.0,0,0,0,0,0,0,0,226.2
22024,203999,Nikola Jokić,1630230,Naji Marshall,4,3:42,18.8,4,14,0,1,1,1,5,0.2,0,0,0.0,0,0,0,0,2,2,0,222.5
22024,203999,Nikola Jokić,101108,Chris Paul,2,2:51,18.7,12,24,2,0,0,5,9,0.556,0,0,0.0,0,0,0,0,2,2,0,171.3
22024,203999,Nikola Jokić,1627936,Alex Caruso,4,3:22,18.3,10,26,1,0,1,4,6,0.667,0,0,0.0,0,0,0,0,2,4,1,202.2
22024,203999,Nikola Jokić,203083,Andre Drummond,1,2:06,17.6,4,21,0,1,0,2,3,0.667,0,0,0.0,0,0,0,0,0,0,0,126.2
22024,203999,Nikola Jokić,1630579,Jericho Sims,2,3:27,17.3,4,19,1,0,0,2,6,0.333,0,2,0.0,0,0,0,0,0,0,0,207.3
22024,203999,Nikola Jokić,1629234,Drew Eubanks,2,3:32,17.0,12,20,1,3,0,5,6,0.833,2,2,1.0,0,0,0,0,0,0,0,211.5
22024,203999,Nikola Jokić,203078,Bradley Beal,3,2:58,17.0,7,29,1,0,0,3,4,0.75,0,0,0.0,0,0,0,0,1,1,1,177.8
22024,203999,Nikola Jokić,1626162,Kelly Oubre Jr.,2,2:18,16.2,12,26,1,1,0,3,5,0.6,0,0,0.0,0,0,0,0,6,6,2,138.1
22024,203999,Nikola Jokić,1631132,Christian Koloko,2,2:28,16.1,5,15,2,1,0,2,3,0.667,0,0,0.0,0,0,0,0,1,1,1,148.3
22024,203999,Nikola Jokić,201942,DeMar DeRozan,4,2:22,16.0,2,22,2,2,0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,142.2
22024,203999,Nikola Jokić,201935,James Harden,3,2:12,16.0,2,18,2,3,0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,132.2
22024,203999,Nikola Jokić,1630194,Paul Reed,2,3:35,15.9,6,16,2,1,0,2,3,0.667,0,0,0.0,0,0,0,0,2,2,0,214.8
22024,203999,Nikola Jokić,1629012,Collin Sexton,4,1:52,15.6,4,20,4,1,0,1,2,0.5,0,0,0.0,0,0,0,0,2,2,1,112.2
22024,203999,Nikola Jokić,1630530,Trey Murphy III,3,2:46,15.4,4,21,2,0,0,2,4,0.5,0,2,0.0,0,0,0,0,0,0,0,165.8
22024,203999,Nikola Jokić,203500,Steven Adams,1,2:44,15.3,9,23,2,0,0,3,4,0.75,3,4,0.75,0,0,0,0,0,0,0,164.4
22024,203999,Nikola Jokić,1629627,Zion Williamson,2,2:42,15.3,1,18,1,1,0,0,0,0.0,0,0,0.0,0,0,0,0,1,2,1,161.9
22024,203999,Nikola Jokić,1641730,Noah Clowney,2,2:41,15.1,2,17,1,0,0,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,161.5
22024,203999,Nikola Jokić,203915,Spencer Dinwiddie,4,2:25,14.8,8,25,4,0,0,4,6,0.667,0,0,0.0,0,0,0,0,0,0,0,144.7
22024,203999,Nikola Jokić,1626158,Richaun Holmes,1,2:29,14.6,9,12,0,1,1,4,7,0.571,1,3,0.333,0,0,0,0,0,0,0,149.4
22024,203999,Nikola Jokić,1630551,Justin Champagnie,2,2:59,14.5,14,30,2,0,1,5,9,0.556,0,1,0.0,0,0,0,0,4,6,3,178.5
22024,203999,Nikola Jokić,1629750,Javonte Green,3,2:31,14.5,9,40,4,0,0,4,5,0.8,1,1,1.0,0,0,0,0,0,0,0,151.2
22024,203999,Nikola Jokić,1628398,Kyle Kuzma,2,2:15,14.5,1,13,1,1,0,0,2,0.0,0,0,0.0,0,0,0,0,1,2,1,135.4
22024,203999,Nikola Jokić,1641744,Zach Edey,1,2:14,14.2,9,19,3,1,0,4,5,0.8,1,1,1.0,0,0,0,0,0,0,0,134.5
22024,203999,Nikola Jokić,202691,Klay Thompson,4,2:41,14.0,6,28,0,2,0,2,3,0.667,0,0,0.0,0,0,0,0,2,2,1,160.6
22024,203999,Nikola Jokić,1629638,Nickeil Alexander-Walker,4,2:23,13.8,4,22,2,2,0,2,3,0.667,0,0,0.0,0,0,0,0,0,0,0,143.3
22024,203999,Nikola Jokić,1626204,Larry Nance Jr.,1,2:40,13.6,7,13,1,0,0,2,4,0.5,1,2,0.5,0,0,0,0,2,2,0,160.0
22024,203999,Nikola Jokić,1641718,Keyonte George,4,2:19,13.5,5,27,4,2,0,2,4,0.5,0,0,0.0,0,0,0,0,1,1,1,139.0
22024,203999,Nikola Jokić,1630178,Tyrese Maxey,2,2:11,13.3,3,24,4,2,0,1,3,0.333,0,0,0.0,0,0,0,0,1,1,1,130.8
22024,203999,Nikola Jokić,1629048,Goga Bitadze,1,2:48,13.3,7,14,2,0,0,3,6,0.5,0,2,0.0,0,0,0,0,1,2,1,168.1
22024,203999,Nikola Jokić,1641709,Ausar Thompson,2,2:27,13.2,3,35,5,0,0,1,2,0.5,0,0,0.0,0,0,0,0,1,1,1,146.9
22024,203999,Nikola Jokić,202710,Jimmy Butler III,3,2:07,13.2,4,22,1,0,0,2,2,1.0,0,0,0.0,0,0,0,0,0,0,0,127.1
22024,203999,Nikola Jokić,1628964,Mo Bamba,2,2:23,13.2,3,9,0,1,0,1,2,0.5,1,1,1.0,0,0,0,0,0,0,0,142.8
22024,203999,Nikola Jokić,203468,CJ McCollum,3,2:29,13.0,4,13,1,0,1,2,6,0.333,0,0,0.0,0,0,0,0,0,0,0,149.0
22024,203999,Nikola Jokić,1629656,Quentin Grimes,3,2:27,13.0,10,34,1,0,0,5,6,0.833,0,0,0.0,0,0,0,0,0,0,0,147.1
22024,203999,Nikola Jokić,1629029,Luka Dončić,2,2:20,13.0,2,16,1,2,0,1,3,0.333,0,0,0.0,0,0,0,0,0,0,0,140.3
22024,203999,Nikola Jokić,1628969,Mikal Bridges,2,2:21,12.7,4,28,2,0,0,2,5,0.4,0,0,0.0,0,0,0,0,0,0,0,140.7
22024,203999,Nikola Jokić,1626220,Royce O'Neale,4,1:56,12.6,10,27,3,0,0,4,8,0.5,0,1,0.0,0,0,0,0,2,2,0,116.4
22024,203999,Nikola Jokić,1628436,Luke Kornet,1,2:17,12.6,4,17,1,2,0,2,5,0.4,0,0,0.0,0,0,0,0,0,0,0,136.5
22024,203999,Nikola Jokić,1642348,Justin Edwards,2,2:27,12.6,6,37,6,1,0,3,5,0.6,0,0,0.0,0,0,0,0,0,1,1,146.6
22024,203999,Nikola Jokić,2544,LeBron James,2,2:35,12.5,0,19,1,1,0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,154.5
22024,203999,Nikola Jokić,1629673,Jordan Poole,2,1:20,12.5,7,17,2,0,0,3,4,0.75,1,1,1.0,0,0,0,0,0,0,0,80.3
22024,203999,Nikola Jokić,1630166,Deni Avdija,3,2:12,12.5,10,26,2,0,0,4,6,0.667,0,0,0.0,0,0,0,0,2,2,1,132.1
22024,203999,Nikola Jokić,1628368,De'Aaron Fox,2,1:41,12.5,11,16,2,1,0,4,4,1.0,1,1,1.0,0,0,0,0,2,2,0,101.0
22024,203999,Nikola Jokić,1630534,Ochai Agbaji,2,1:56,12.4,2,10,1,0,0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,116.2
22024,203999,Nikola Jokić,1627752,Taurean Prince,2,2:04,12.2,9,32,2,0,0,4,6,0.667,1,1,1.0,0,0,0,0,0,0,0,123.6
22024,203999,Nikola Jokić,201144,Mike Conley,4,2:17,12.2,8,14,2,3,0,4,5,0.8,0,0,0.0,0,0,0,0,0,0,0,137.0
22024,203999,Nikola Jokić,1630170,Devin Vassell,2,1:58,11.9,4,17,1,1,0,2,5,0.4,0,1,0.0,0,0,0,0,0,0,0,118.1
22024,203999,Nikola Jokić,1628371,Jonathan Isaac,2,1:42,11.8,9,17,2,0,0,3,3,1.0,0,0,0.0,0,0,0,0,3,3,2,102.2
22024,203999,Nikola Jokić,1629014,Anfernee Simons,3,2:15,11.6,6,17,0,2,0,3,5,0.6,0,1,0.0,0,0,0,0,0,0,0,135.4
22024,203999,Nikola Jokić,1642261,Dalton Knecht,3,2:15,11.5,9,31,2,1,1,1,3,0.333,0,0,0.0,0,0,0,0,7,8,3,134.7
22024,203999,Nikola Jokić,1627739,Kris Dunn,3,1:55,11.4,9,23,1,0,0,4,5,0.8,1,1,1.0,0,0,0,0,0,0,0,114.6
22024,203999,Nikola Jokić,1628970,Miles Bridges,2,1:43,11.2,6,15,0,1,0,3,3,1.0,0,0,0.0,0,0,0,0,0,0,0,103.3
22024,203999,Nikola Jokić,201587,Nicolas Batum,3,1:39,11.2,3,13,0,4,0,1,3,0.333,0,1,0.0,0,0,0,0,1,2,0,99.0
22024,203999,Nikola Jokić,1628374,Lauri Markkanen,1,1:25,11.1,6,16,0,0,0,3,6,0.5,0,1,0.0,0,0,0,0,0,0,0,84.9
22024,203999,Nikola Jokić,1641711,Gradey Dick,2,1:32,11.1,3,16,1,0,0,1,4,0.25,0,1,0.0,0,0,0,0,1,2,1,92.3
22024,203999,Nikola Jokić,1642267,Bub Carrington,2,1:40,11.1,12,23,1,0,0,4,4,1.0,0,0,0.0,0,0,0,0,4,4,2,99.8
22024,203999,Nikola Jokić,203471,Dennis Schröder,2,1:14,11.1,4,26,0,1,0,2,4,0.5,0,1,0.0,0,0,0,0,0,1,1,74.2
22024,203999,Nikola Jokić,1629645,Kevin Porter Jr.,4,1:47,11.1,7,28,2,0,0,3,4,0.75,0,0,0.0,0,0,0,0,1,2,1,107.2
22024,203999,Nikola Jokić,1629312,Haywood Highsmith,2,1:47,11.0,4,17,2,1,0,1,1,1.0,0,0,0.0,0,0,0,0,2,2,1,107.1
22024,203999,Nikola Jokić,203939,Dwight Powell,1,2:12,10.8,8,15,2,1,0,2,3,0.667,0,0,0.0,0,0,0,0,4,4,2,132.0
22024,203999,Nikola Jokić,1641733,Nick Smith Jr.,2,1:40,10.7,8,25,2,0,0,4,4,1.0,0,0,0.0,0,0,0,0,0,0,0,100.0
22024,203999,Nikola Jokić,1628404,Josh Hart,2,1:36,10.6,2,16,1,0,0,0,2,0.0,0,0,0.0,0,0,0,0,2,2,1,95.9
22024,203999,Nikola Jokić,1630700,Dyson Daniels,2,1:31,10.5,11,16,0,0,0,5,12,0.417,0,2,0.0,0,0,0,0,1,1,1,90.7
22024,203999,Nikola Jokić,1630548,Johnny Juzang,4,1:38,10.2,15,21,1,1,0,7,9,0.778,0,0,0.0,0,0,0,0,1,1,1,97.5
22024,203999,Nikola Jokić,1626145,Tyus Jones,4,1:17,10.2,0,9,1,0,0,0,2,0.0,0,1,0.0,0,0,0,0,0,0,0,76.7
22024,203999,Nikola Jokić,203084,Harrison Barnes,2,1:35,10.1,5,9,0,1,0,2,7,0.286,0,1,0.0,0,0,0,0,1,1,1,94.6
22024,203999,Nikola Jokić,1641764,Brandin Podziemski,2,1:27,10.1,6,22,4,0,0,3,3,1.0,0,0,0.0,0,0,0,0,0,0,0,87.1
22024,203999,Nikola Jokić,1627732,Ben Simmons,1,1:33,10.0,5,14,2,0,0,2,3,0.667,0,0,0.0,0,0,0,0,1,2,0,93.4
22024,203999,Nikola Jokić,201142,Kevin Durant,3,2:08,10.0,2,11,0,1,1,1,6,0.167,0,2,0.0,0,0,0,0,0,0,0,127.6
22024,203999,Nikola Jokić,1641717,Cason Wallace,4,1:45,9.9,8,14,1,1,0,4,5,0.8,0,0,0.0,0,0,0,0,0,0,0,104.7
22024,203999,Nikola Jokić,1630198,Isaiah Joe,4,1:48,9.8,2,13,2,0,0,1,3,0.333,0,0,0.0,0,0,0,0,0,0,0,108.4
22024,203999,Nikola Jokić,1627747,Caris LeVert,2,1:27,9.8,4,18,3,0,0,2,3,0.667,0,0,0.0,0,0,0,0,0,0,0,87.5
22024,203999,Nikola Jokić,1626164,Devin Booker,2,1:55,9.7,7,21,3,2,0,3,3,1.0,1,1,1.0,0,0,0,0,0,0,0,115.3
22024,203999,Nikola Jokić,1631114,Jalen Williams,4,1:41,9.6,0,9,4,1,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,100.9
22024,203999,Nikola Jokić,1641722,Jordan Hawkins,3,1:26,9.6,7,13,1,0,0,3,3,1.0,1,1,1.0,0,0,0,0,0,0,0,86.1
22024,203999,Nikola Jokić,1628384,OG Anunoby,2,1:40,9.4,6,18,1,0,1,3,6,0.5,0,0,0.0,0,0,0,0,0,0,0,100.1
22024,203999,Nikola Jokić,1642367,Jonathan Mogbo,2,1:07,9.2,3,11,1,2,0,1,3,0.333,0,0,0.0,0,0,0,0,1,2,0,67.0
22024,203999,Nikola Jokić,1628963,Marvin Bagley III,1,2:02,9.0,11,14,1,0,1,4,11,0.364,0,0,0.0,0,0,0,0,3,5,2,122.0
22024,203999,Nikola Jokić,1630174,Aaron Nesmith,2,1:46,9.0,4,19,1,1,0,2,2,1.0,0,0,0.0,0,0,0,0,0,0,0,106.4
22024,203999,Nikola Jokić,202699,Tobias Harris,2,1:38,9.0,6,19,1,0,0,2,4,0.5,1,1,1.0,0,0,0,0,1,1,1,98.0
22024,203999,Nikola Jokić,1630577,Julian Champagnie,2,1:33,9.0,2,13,2,0,0,1,3,0.333,0,0,0.0,0,0,0,0,0,0,0,93.0
22024,203999,Nikola Jokić,1627749,Dejounte Murray,1,1:51,8.9,2,8,1,0,0,1,4,0.25,0,0,0.0,0,0,0,0,0,0,0,111.4
22024,203999,Nikola Jokić,1630182,Josh Green,2,1:36,8.9,2,15,1,0,0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,95.8
22024,203999,Nikola Jokić,1628973,Jalen Brunson,2,1:15,8.9,5,16,1,0,0,2,3,0.667,1,2,0.5,0,0,0,0,0,0,0,74.8
22024,203999,Nikola Jokić,1629636,Darius Garland,2,1:02,8.9,2,7,0,1,0,1,2,0.5,0,1,0.0,0,0,0,0,0,0,0,62.0
22024,203999,Nikola Jokić,1630188,Jalen Smith,1,1:46,8.8,4,10,1,0,0,2,3,0.667,0,1,0.0,0,0,0,0,0,0,0,106.4
22024,203999,Nikola Jokić,1626181,Norman Powell,3,1:09,8.8,7,11,0,1,0,3,3,1.0,1,1,1.0,0,0,0,0,0,0,0,69.4
22024,203999,Nikola Jokić,1629018,Gary Trent Jr.,2,1:23,8.7,14,18,0,0,0,7,9,0.778,0,1,0.0,0,0,0,0,0,0,0,83.4
22024,203999,Nikola Jokić,1629628,RJ Barrett,2,1:12,8.7,9,12,0,1,0,4,5,0.8,1,1,1.0,0,0,0,0,0,0,0,71.8
22024,203999,Nikola Jokić,1630558,Davion Mitchell,2,1:33,8.7,8,19,0,0,0,4,4,1.0,0,0,0.0,0,0,0,0,0,0,0,92.8
22024,203999,Nikola Jokić,1631133,Jabari Walker,2,1:13,8.6,4,11,0,1,0,1,3,0.333,0,0,0.0,0,0,0,0,2,2,1,72.7
