SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG
2024-25,1610612743,DEN,Denver Nuggets,0022400350,2024-12-08T00:00:00,DEN @ ATL,W,48.0,56,89,0.629,12,27,0.444,17,24,0.708,7,36,43,43,20.0,9,5,2,22,22,141,30.0,1,1,1,1,7,4,39,3,35,66,22,40,31,61,72,31,51,4,69,23,31,5,68,17,6,3,1
2024-25,1610612743,DEN,Denver Nuggets,0022400341,2024-12-07T00:00:00,DEN @ WAS,L,48.0,46,95,0.484,5,25,0.2,16,27,0.593,16,32,48,34,15.0,11,6,12,23,21,113,-9.0,1,51,51,51,7,35,21,56,81,71,80,47,24,76,7,55,28,23,45,13,22,80,75,24,59,64,1
2024-25,1610612743,DEN,Denver Nuggets,0022400325,2024-12-05T00:00:00,DEN @ CLE,L,48.0,46,96,0.479,6,24,0.25,16,22,0.727,9,40,49,25,16.0,12,5,3,13,17,114,-12.0,1,51,51,51,7,35,17,59,79,74,75,47,40,54,54,10,25,67,53,7,31,14,8,46,57,69,1
2024-25,1610612743,DEN,Denver Nuggets,0022400058,2024-12-03T00:00:00,DEN vs. GSW,W,48.0,40,79,0.506,11,24,0.458,28,35,0.8,4,34,38,32,15.0,9,5,3,15,25,119,4.0,1,1,1,1,7,67,76,37,47,74,18,6,6,31,81,40,70,34,45,23,31,14,18,6,48,42,1
2024-25,1610612743,DEN,Denver Nuggets,0022400314,2024-12-01T00:00:00,DEN @ LAC,L,48.0,51,88,0.58,10,24,0.417,10,19,0.526,8,31,39,37,14.0,7,3,4,17,16,122,-4.0,1,51,51,51,7,13,45,9,54,74,28,75,56,82,62,64,64,14,38,43,60,25,34,58,37,57,1
2024-25,1610612743,DEN,Denver Nuggets,0022400298,2024-11-27T00:00:00,DEN @ UTA,W,48.0,46,84,0.548,11,33,0.333,19,23,0.826,10,29,39,30,11.0,10,8,5,14,17,122,19.0,1,1,1,1,7,35,64,18,47,32,57,29,36,24,47,73,64,41,20,18,5,36,14,46,37,13,1
2024-25,1610612743,DEN,Denver Nuggets,0022400283,2024-11-25T00:00:00,DEN vs. NYK,L,48.0,41,92,0.446,11,33,0.333,25,27,0.926,10,23,33,23,11.0,5,3,4,18,23,118,-27.0,1,51,51,51,7,60,28,71,47,32,57,10,24,7,47,80,81,72,20,67,60,25,43,14,50,81,1
2024-25,1610612743,DEN,Denver Nuggets,0022400270,2024-11-23T00:00:00,DEN @ LAL,W,48.0,50,82,0.61,16,32,0.5,11,19,0.579,8,40,48,37,18.0,7,2,3,18,16,127,25.0,1,1,1,1,7,15,72,6,7,38,8,69,56,78,62,10,28,14,59,43,69,14,43,58,25,7,1
2024-25,1610612743,DEN,Denver Nuggets,0022400033,2024-11-22T00:00:00,DEN vs. DAL,L,48.0,43,90,0.478,15,29,0.517,19,29,0.655,15,27,42,33,15.0,4,7,5,19,22,120,-3.0,1,51,51,51,7,52,36,60,17,56,5,29,19,71,9,75,57,28,45,75,12,36,55,17,45,53,1
2024-25,1610612743,DEN,Denver Nuggets,0022400023,2024-11-19T00:00:00,DEN @ MEM,W,48.0,48,100,0.48,12,36,0.333,14,22,0.636,13,40,53,29,19.0,15,6,10,29,24,122,12.0,1,1,1,1,7,25,6,58,35,18,57,55,40,74,26,10,13,46,66,1,22,77,82,9,37,25,1
2024-25,1610612743,DEN,Denver Nuggets,0022400238,2024-11-17T00:00:00,DEN @ MEM,L,48.0,35,84,0.417,10,31,0.323,10,14,0.714,6,33,39,23,15.0,9,5,10,12,15,90,-15.0,1,51,51,51,7,79,64,76,54,44,61,75,73,57,76,47,64,72,45,23,31,77,4,65,81,74,1
