gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0022401210,240,PT07M35.00S,2,1610612747,LAL,203076,Davis,A. Davis,0,0,0,,0,,,0,v,Davis REBOUND (Off:0 Def:3),Rebound,Unknown,1,0,183
0022401210,241,PT07M28.00S,2,1610612747,LAL,1629216,Vincent,G. Vincent,-181,173,25,Missed,1,,,0,v,MISS Vincent 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,3,184
0022401210,242,PT07M24.00S,2,1610612750,MIN,1630162,Edwards,A. Edwards,0,0,0,,0,,,0,h,Edwards REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,185
0022401210,243,PT07M16.00S,2,1610612750,MIN,203944,Randle,J. Randle,0,0,0,,0,,,0,h,Randle Traveling Turnover (P1.T4),Turnover,Traveling,1,0,186
0022401210,244,PT07M02.00S,2,1610612747,LAL,203076,Davis,A. Davis,6,12,1,Missed,1,,,0,v,MISS Davis 1' Driving Layup,Missed Shot,Driving Layup Shot,1,2,187
0022401210,245,PT07M00.00S,2,1610612750,MIN,201144,Conley,M. Conley,0,0,0,,0,,,0,h,Conley REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,188
0022401210,246,PT06M53.00S,2,1610612750,MIN,1630183,McDaniels,J. McDaniels,192,176,26,Missed,1,,,0,h,MISS McDaniels 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,189
0022401210,247,PT06M51.00S,2,1610612750,MIN,203497,Gobert,R. Gobert,0,0,0,,0,,,0,h,Gobert REBOUND (Off:4 Def:2),Rebound,Unknown,1,0,190
0022401210,248,PT06M37.00S,2,1610612750,MIN,201144,Conley,M. Conley,225,-33,0,Missed,1,,,0,h,MISS Conley 3PT Jump Shot,Missed Shot,Jump Shot,1,3,191
0022401210,249,PT06M34.00S,2,1610612747,LAL,1642261,Knecht,D. Knecht,0,0,0,,0,,,0,v,Knecht REBOUND (Off:1 Def:6),Rebound,Unknown,1,0,192
0022401210,250,PT06M20.00S,2,1610612747,LAL,203076,Davis,A. Davis,2,113,11,Missed,1,,,0,v,MISS Davis 11' Jump Shot,Missed Shot,Jump Shot,1,2,193
0022401210,251,PT06M18.00S,2,1610612750,MIN,201144,Conley,M. Conley,0,0,0,,0,,,0,h,Conley REBOUND (Off:0 Def:3),Rebound,Unknown,1,0,194
0022401210,252,PT06M15.00S,2,1610612750,MIN,1630183,McDaniels,J. McDaniels,-4,16,2,Made,1,35,31,66,h,McDaniels 2' Running Layup (9 PTS) (Conley 5 AST),Made Shot,Running Layup Shot,1,2,195
0022401210,254,PT06M15.00S,2,1610612747,LAL,1642261,Knecht,D. Knecht,0,0,0,,0,,,0,v,Knecht S.FOUL (P1.T3) (M.Davis),Foul,Shooting,1,0,196
0022401210,256,PT06M15.00S,2,0,,1610612750,,,0,0,0,,0,,,0,h,TIMBERWOLVES Timeout: Regular (Full 2 Short 0),Timeout,Regular,0,0,197
0022401210,257,PT06M15.00S,2,1610612747,LAL,1642261,Knecht,D. Knecht,0,0,0,,0,,,0,v,SUB: Reddish FOR Knecht,Substitution,,0,0,198
0022401210,259,PT06M15.00S,2,1610612750,MIN,1630183,McDaniels,J. McDaniels,0,0,0,,0,36,31,67,h,McDaniels Free Throw 1 of 1 (10 PTS),Free Throw,Free Throw 1 of 1,1,0,199
0022401210,260,PT06M02.00S,2,1610612747,LAL,203076,Davis,A. Davis,10,63,6,Missed,1,,,0,v,MISS Davis 6' Layup,Missed Shot,Layup Shot,1,2,200
0022401210,261,PT05M59.00S,2,1610612750,MIN,203497,Gobert,R. Gobert,0,0,0,,0,,,0,h,Gobert REBOUND (Off:4 Def:3),Rebound,Unknown,1,0,201
0022401210,262,PT05M43.00S,2,1610612750,MIN,203944,Randle,J. Randle,67,79,10,Made,1,38,31,69,h,Randle 10' Turnaround Fadeaway (10 PTS),Made Shot,Turnaround Fadeaway shot,1,2,202
0022401210,263,PT05M31.00S,2,1610612747,LAL,203076,Davis,A. Davis,124,137,18,Made,1,38,33,71,v,Davis 18' Pullup Jump Shot (9 PTS),Made Shot,Pullup Jump shot,1,2,203
0022401210,264,PT05M09.00S,2,1610612750,MIN,203497,Gobert,R. Gobert,-11,13,2,Made,1,40,33,73,h,Gobert 2' Driving Layup (5 PTS) (Conley 6 AST),Made Shot,Driving Layup Shot,1,2,204
0022401210,266,PT04M54.00S,2,1610612747,LAL,1629060,Hachimura,R. Hachimura,1,16,2,Made,1,40,35,75,v,Hachimura 2' Cutting Dunk Shot (5 PTS) (Davis 1 AST),Made Shot,Cutting Dunk Shot,1,2,205
0022401210,268,PT04M33.00S,2,1610612750,MIN,203944,Randle,J. Randle,-6,252,25,Missed,1,,,0,h,MISS Randle 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,206
0022401210,269,PT04M32.00S,2,0,,1610612747,,,0,0,0,,0,,,0,v,Lakers Rebound,Rebound,Unknown,1,0,207
0022401210,271,PT04M32.00S,2,1610612750,MIN,201144,Conley,M. Conley,0,0,0,,0,,,0,h,SUB: DiVincenzo FOR Conley,Substitution,,0,0,208
0022401210,273,PT04M23.00S,2,1610612747,LAL,1629216,Vincent,G. Vincent,0,0,0,,0,,,0,v,Vincent Bad Pass Turnover (P3.T13),Turnover,Bad Pass,1,0,209
0022401210,277,PT04M23.00S,2,1610612747,LAL,1629216,Vincent,G. Vincent,0,0,0,,0,,,0,v,Vincent L.B.FOUL (P1.T4) (P.Ransom),Foul,Loose Ball,1,0,210
0022401210,279,PT04M23.00S,2,1610612750,MIN,203497,Gobert,R. Gobert,0,0,0,,0,,,0,h,SUB: Reid FOR Gobert,Substitution,,0,0,211
0022401210,281,PT04M13.00S,2,1610612750,MIN,1630162,Edwards,A. Edwards,0,0,0,,0,,,0,h,Edwards Lost Ball Turnover (P2.T5),Turnover,Lost Ball,1,0,212
