TEAM,level_1,PTS,REB,AST,FGA,FGM,FG_PCT,FG3A,FG3M,FG3_PCT,FTA,FTM,FT_PCT,OREB,TOV,MIN,DATE,DEF_RATING,PACE
Atlanta,418,120.0,45.0,25.0,80.0,39.0,0.488,28.0,9.0,0.321,46.0,33.0,0.717,12.0,16.0,240.0,"OCT 23, 2024",115.11895625479663,0.4343333333333333
Atlanta,419,122.5,42.0,25.0,80.5,39.0,0.4845,33.0,11.5,0.34450000000000003,42.0,33.0,0.7925,9.5,14.5,240.0,"OCT 25, 2024",117.8111175226005,0.43325
Atlanta,420,116.33333333333333,44.333333333333336,24.666666666666668,84.0,38.0,0.455,32.333333333333336,11.0,0.3373333333333333,37.666666666666664,29.333333333333332,0.7813333333333333,12.0,16.0,240.0,"OCT 27, 2024",111.24569679969397,0.43572222222222223
Atlanta,421,116.0,42.333333333333336,27.0,84.33333333333333,38.0,0.4526666666666667,36.333333333333336,13.0,0.35533333333333333,34.333333333333336,27.0,0.7829999999999999,10.0,16.0,240.0,"OCT 28, 2024",110.01517450682853,0.4393333333333333
Atlanta,422,114.33333333333333,43.0,28.0,89.0,40.0,0.4503333333333333,36.666666666666664,12.333333333333334,0.3353333333333333,28.666666666666668,22.0,0.7793333333333333,11.666666666666666,16.666666666666668,240.0,"OCT 30, 2024",107.24112056028014,0.4442222222222222
Atlanta,402,118.0,40.0,30.0,89.33333333333333,41.666666666666664,0.467,43.0,15.333333333333334,0.35433333333333333,25.0,19.333333333333332,0.7856666666666667,8.666666666666666,14.666666666666666,240.0,"NOV 01, 2024",110.9717868338558,0.44305555555555554
Atlanta,403,120.33333333333333,40.666666666666664,29.0,91.66666666666667,45.333333333333336,0.496,41.666666666666664,15.333333333333334,0.36833333333333335,17.0,14.333333333333334,0.8506666666666667,10.0,14.666666666666666,240.0,"NOV 03, 2024",115.91317749807344,0.43255555555555564
Atlanta,404,111.33333333333333,41.333333333333336,27.333333333333332,89.66666666666667,42.666666666666664,0.4766666666666666,39.0,13.333333333333334,0.3303333333333333,15.333333333333334,12.666666666666666,0.836,8.666666666666666,16.0,240.0,"NOV 04, 2024",107.31268474489138,0.4322777777777778
Atlanta,405,113.33333333333333,44.0,27.666666666666668,92.33333333333333,44.0,0.478,35.0,12.0,0.3353333333333333,16.666666666666668,13.333333333333334,0.819,11.333333333333334,14.333333333333334,240.0,"NOV 06, 2024",110.38961038961038,0.42777777777777776
Atlanta,406,111.66666666666667,45.0,28.0,95.33333333333333,42.0,0.43999999999999995,35.0,12.0,0.3353333333333333,20.333333333333332,15.666666666666666,0.7743333333333333,13.0,14.666666666666666,240.0,"NOV 08, 2024",105.39894286433426,0.4414444444444445
